Name,URL,Description,Batch
Modern Realty,https://www.ycombinator.com/companies/modern-realty,The AI real estate agent for home buying,S24
David AI,https://www.ycombinator.com/companies/david-ai,The data marketplace for AI,S24
BeeBettor,https://www.ycombinator.com/companies/beebettor,Automate and monetize sports betting strategies,S24
Guardian AI,https://www.ycombinator.com/companies/guardian-ai,Helping healthcare providers fight insurance denials.,S24
Stempad,https://www.ycombinator.com/companies/stempad,Text editor for fast scientific writing.,S24
Pax,https://www.ycombinator.com/companies/pax,TurboTax for Import Duty Rebate,S24
Conductor Quantum,https://www.ycombinator.com/companies/conductor-quantum,Quantum computers on silicon chips using AI.,S24
Opslane,https://www.ycombinator.com/companies/opslane,Open-source tool to reduce noisy alerts,S24
Asterisk,https://www.ycombinator.com/companies/asterisk,AI-augmented security audits for modern development teams.,S24
Drillbit,https://www.ycombinator.com/companies/drillbit,Automating Office Work for Residential Contractors.,S24
Lumenary,https://www.ycombinator.com/companies/lumenary,AI-powered quality reporting for healthcare.,S24
Dimely,https://www.ycombinator.com/companies/dimely,AI Copilot for B2B SaaS Billing Teams,S24
Planbase,https://www.ycombinator.com/companies/planbase,Workforce management for modern healthcare,S24
Unriddle,https://www.ycombinator.com/companies/unriddle,Read and write research papers faster.,S24
"Hestus, Inc.",https://www.ycombinator.com/companies/hestus-inc,An AI-powered CAD software,S24
FINNY AI,https://www.ycombinator.com/companies/finny-ai,Using ML to supercharge organic growth for Financial Advisors,S24
Focal,https://www.ycombinator.com/companies/focal-2,AI automation for enterprises,S24
1849 bio,https://www.ycombinator.com/companies/1849-bio,We make microbes enabling ultra cheap metal extraction.,S24
ReactWise,https://www.ycombinator.com/companies/reactwise,AI co-pilot for novel drug manufacturing,S24
Saturn,https://www.ycombinator.com/companies/saturn,Backoffice and compliance automation for wealth managers,S24
Clearly AI,https://www.ycombinator.com/companies/clearly-ai,Automate security and privacy with AI that understands your software.,S24
Overstand Labs,https://www.ycombinator.com/companies/overstand-labs,The cross-selling engine for enterprise software companies,S24
Promi,https://www.ycombinator.com/companies/promi,Helping ecommerce merchants optimize their pricing and discounts,S24
Ontra Mobility,https://www.ycombinator.com/companies/ontra-mobility,Platform for planning and operating multimodal transit systems,S24
Fortress,https://www.ycombinator.com/companies/fortress,Manage isolated customer databases in your own cloud,S24
Panora,https://www.ycombinator.com/companies/panora,APIs to connect your LLMs to the enterprise stack,S24
Manaflow,https://www.ycombinator.com/companies/manaflow,Augment repetitive office work in tables with AI,S24
Conveo,https://www.ycombinator.com/companies/conveo,Qualitative Research Conducted and Analyzed by AI,S24
Parity,https://www.ycombinator.com/companies/parity,The World's First AI SRE,S24
Kastle,https://www.ycombinator.com/companies/kastle,AI voice agents for mortgage lending,S24
Kopra Bio,https://www.ycombinator.com/companies/kopra-bio,Viral immunotherapies that turn cancer cells into biofactories,S24
Arctic Capture,https://www.ycombinator.com/companies/arctic-capture,Genetically engineering cyanobacteria for carbon capture.,S24
Benchify,https://www.ycombinator.com/companies/benchify,Automatic code reviews powered by rocket-grade testing,S24
Fazeshift,https://www.ycombinator.com/companies/fazeshift,Better Accounts Receivable with Zero Employees,S24
TaxGPT,https://www.ycombinator.com/companies/taxgpt,AI Co-Pilot for Accountants and Tax Professionals,S24
Zenbase AI,https://www.ycombinator.com/companies/zenbase-ai,"Prompt engineering, automated.",S24
Mito Health,https://www.ycombinator.com/companies/mito-health,Measure over 100 biomarkers to prevent disease and achieve peak health,S24
Lighthouz AI,https://www.ycombinator.com/companies/lighthouz-ai,AI procurement specialists to automate B2B purchasing for…,S24
Modus,https://www.ycombinator.com/companies/modus,Headcount management to save costs as you scale,S24
LedgerUp,https://www.ycombinator.com/companies/ledgerup,Your first and only finance hire,S24
Plume,https://www.ycombinator.com/companies/plume,Home energy renovations made easy,S24
Pulse AI,https://www.ycombinator.com/companies/pulse-ai,Procurement on autopilot,S24
AutoPallet Robotics,https://www.ycombinator.com/companies/autopallet-robotics,We make robots that move boxes in warehouses,S24
stormy.ai,https://www.ycombinator.com/companies/stormy-ai,AI layer on top of MacOS that knows you on an unparalleled level,S24
Merse,https://www.ycombinator.com/companies/merse-2,Discover and Create Audio-Visual Comics,S24
AminoAnalytica,https://www.ycombinator.com/companies/aminoanalytica,AI for enhanced functional proteins,S24
Gauge,https://www.ycombinator.com/companies/gauge,Solving the monolith/microservices dilemma,S24
Tandem,https://www.ycombinator.com/companies/tandem-2,Marketplace to help companies lease and share office space,S24
AnswerGrid,https://www.ycombinator.com/companies/answergrid,Accelerate your web research.,S24
Tivara,https://www.ycombinator.com/companies/tivara,Using LLMs to automate insurance approval for healthcare clinics,S24
MinusX,https://www.ycombinator.com/companies/minusx,AI Data Scientist for Jupyter and Metabase,S24
Passage,https://www.ycombinator.com/companies/passage,"Clear your goods in minutes, with AI ",S24
Sam,https://www.ycombinator.com/companies/sam,AI that solves support tickets like a human,S24
CodeViz,https://www.ycombinator.com/companies/codeviz,We build codebase maps for developers,S24
Neuralize,https://www.ycombinator.com/companies/neuralize,The Deployment Platform for On-Device AI/ML,S24
Ares Industries,https://www.ycombinator.com/companies/ares-industries,Building low-cost cruise missiles,S24
Dodo,https://www.ycombinator.com/companies/dodo,AI Receptionists for Medical Front Desks,S24
Driftly,https://www.ycombinator.com/companies/driftly,Intelligent scheduling for home healthcare,S24
Elevate,https://www.ycombinator.com/companies/elevate-2,Financial infrastructure for AI agents,S24
Offstream,https://www.ycombinator.com/companies/offstream,streamlining compliance for the low carbon economy,S24
"DeepSim, Inc.",https://www.ycombinator.com/companies/deepsim-inc,AI-accelerated multi-physics simulations,S24
reworks,https://www.ycombinator.com/companies/reworks,Browser-based integrations that don't break,S24
Solarflare,https://www.ycombinator.com/companies/solarflare,Real-time Postgres data in React 🐘⚡️,S24
Aviary,https://www.ycombinator.com/companies/aviary,AI-based video search for large video collections.,S24
NetworkOcean,https://www.ycombinator.com/companies/networkocean,We build and operate underwater data centers.,S24
Silurian,https://www.ycombinator.com/companies/silurian,Foundation models to simulate Earth,S24
Kura,https://www.ycombinator.com/companies/kura,The AI DevOps Copilot,S24
Unbound Security,https://www.ycombinator.com/companies/unbound-security,Secure Gen AI apps for the modern enterprise,S24
RetroFix AI,https://www.ycombinator.com/companies/retrofix-ai,Turbo Tax for Building Rebates,S24
Azalea Robotics Corporation,https://www.ycombinator.com/companies/azalea-robotics-corporation,Azalea Robotics automates airport baggage handling with robots.,S24
Decisional AI,https://www.ycombinator.com/companies/decisional-ai,AI Agent for Financial Analysts,S24
Moonglow,https://www.ycombinator.com/companies/moonglow,Run local Jupyter notebooks on your cloud compute,S24
FirstWork,https://www.ycombinator.com/companies/firstwork,Rippling for frontline workers,S24
Sorcerer,https://www.ycombinator.com/companies/sorcerer,We build weather balloons that collect 1000x more data,S24
Wordware,https://www.ycombinator.com/companies/wordware,IDE for Building AI Agents with Natural Language Programming,S24
Maitai,https://www.ycombinator.com/companies/maitai,Production-ready AI without the heavy lift,S24
Corgi,https://www.ycombinator.com/companies/corgi,Corgi is building an AI insurance company,S24
Phonely,https://www.ycombinator.com/companies/phonely,Go from a website to an AI receptionist in just a few minutes,S24
Clara,https://www.ycombinator.com/companies/clara,"Helping families discover, hire, and manage in-home caregivers",S24
Stack Auth,https://www.ycombinator.com/companies/stack-auth,Open-source auth &amp; user management for developers,S24
Patchwork Technologies,https://www.ycombinator.com/companies/patchwork-technologies,Patchwork automates logging from code to storage,S24
Tabular,https://www.ycombinator.com/companies/tabular,AI Autopilot for Accounting Firms,S24
Callback,https://www.ycombinator.com/companies/callback,startup ops OOTB,S24
Flyflow,https://www.ycombinator.com/companies/flyflow,The easiest way to find high-quality sales leads,S24
Bayesline,https://www.ycombinator.com/companies/bayesline,Highly customizable and blazingly fast analytics for asset managers.,S24
Codes Health,https://www.ycombinator.com/companies/codes-health,Perfect medical histories prior to care,S24
Entangl,https://www.ycombinator.com/companies/entangl,Detect errors in complex engineering projects using AI,S24
ClaimSorted,https://www.ycombinator.com/companies/claimsorted,Third Party Administrator handling insurance claims with AI,S24
mdhub,https://www.ycombinator.com/companies/mdhub,Clinical AI assistant for mental health clinicians,S24
Hamming AI,https://www.ycombinator.com/companies/hamming-ai,Automated testing for AI voice agents,S24
Genie,https://www.ycombinator.com/companies/genie,Conversational AI Sidekick for Kids.,S24
ProhostAI,https://www.ycombinator.com/companies/prohostai,AI-powered operating system for Airbnb hosts,S24
Educato AI,https://www.ycombinator.com/companies/educato-ai,Duolingo for every exam,S24
Spaceium Inc,https://www.ycombinator.com/companies/spaceium-inc,Fully automated space stations for refueling and repair of spacecraft,S24
Comfy Deploy,https://www.ycombinator.com/companies/comfy-deploy,Best place for product teams to use ComfyUI.,S24
Synnax,https://www.ycombinator.com/companies/synnax,Control &amp; Sensor Data Processing for High-Cadence Hardware Teams,S24
Saphira AI,https://www.ycombinator.com/companies/saphira-ai,Vanta for Hardware,S24
Glasskube,https://www.ycombinator.com/companies/glasskube,The next generation Package Manager for Kubernetes,S24
Mem0,https://www.ycombinator.com/companies/mem0,The Memory Layer for Personalized AI,S24
Cheers,https://www.ycombinator.com/companies/cheers-2,The super-app for in-person employees,S24
Ply Health,https://www.ycombinator.com/companies/ply-health,Faster way to get providers in-network with payers.,S24
Superfilter,https://www.ycombinator.com/companies/superfilter,Expert assistant that manages your email.,S24
Superunit,https://www.ycombinator.com/companies/superunit,AI accounting and ops agent for companies selling physical goods,S24
Undermind,https://www.ycombinator.com/companies/undermind,A search engine for complex questions,S24
Domu Technology Inc.,https://www.ycombinator.com/companies/domu-technology-inc,Domu automates debt collection calls for banks like BBVA using GenAI.…,S24
Apten,https://www.ycombinator.com/companies/apten,Customizable AI SMS agents for businesses,S24
Spherecast,https://www.ycombinator.com/companies/spherecast,The inventory copilot for multi-channel brands,S24
Miru,https://www.ycombinator.com/companies/miru-ml,Deployment infrastructure for robotics &amp; IoT,S24
CardLift,https://www.ycombinator.com/companies/cardlift,We help credit card issuers increase their share of wallet.,S24
Ultra,https://www.ycombinator.com/companies/ultra,Robots to package billions of e-commerce orders in warehouses,S24
Ångström AI,https://www.ycombinator.com/companies/angstrom-ai,Fast Gen AI molecular simulations that reproduce wetlab results,S24
Evolvere BioSciences,https://www.ycombinator.com/companies/evolvere-biosciences,Making Next-Generation Antibiotics that Outsmart Bacterial Evolution,S24
Spur,https://www.ycombinator.com/companies/spur,Spur is your AI QA Engineer. Test your websites with natural language.,S24
Ligo Biosciences,https://www.ycombinator.com/companies/ligo-biosciences,Generative enzyme design for the chemical industry.,S24
ACX,https://www.ycombinator.com/companies/acx,Therapeutics inspired by bacteria's natural killing abilities,S24
Overeasy,https://www.ycombinator.com/companies/overeasy,Go from idea to CV model 100x faster,S24
Fuse,https://www.ycombinator.com/companies/fuse-2,Underpayment detection for healthcare providers,S24
Central,https://www.ycombinator.com/companies/central,"Automating BS work for founders - payroll, benefits, govt. filings etc",S24
Simplex,https://www.ycombinator.com/companies/simplex,On-demand photorealistic vision datasets,S24
Poka Labs,https://www.ycombinator.com/companies/poka-labs,The modern operating system for chemical manufacturing.,S24
Alacrity,https://www.ycombinator.com/companies/alacrity,AI Based Account Takeover Prevention Platform,W24
ParcelBio,https://www.ycombinator.com/companies/parcelbio,Next-generation mRNA medicines,W24
K-Scale Labs,https://www.ycombinator.com/companies/k-scale-labs,Open-source humanoid robots,W24
Marr Labs,https://www.ycombinator.com/companies/marr-labs,AI-voice agents that are indistinguishable from humans.,W24
Forge Rewards,https://www.ycombinator.com/companies/forge-rewards,Starbucks memberships for restaurants,W24
FanCave,https://www.ycombinator.com/companies/fancave,Powering the free agency of college sports,W24
RetailReady,https://www.ycombinator.com/companies/retailready,An AI-powered supply chain compliance engine,W24
Million,https://www.ycombinator.com/companies/million,"Make websites fast, automatically",W24
NowHouse,https://www.ycombinator.com/companies/nowhouse,NowHouse is building a new Broadridge.,W24
Crux,https://www.ycombinator.com/companies/crux,Embedded AI Copilots on Structured Data,W24
Reprompt,https://www.ycombinator.com/companies/reprompt,AI Data Agents for reading complex documents and websites,W24
InspectMind AI,https://www.ycombinator.com/companies/inspectmind-ai,"Write Construction Inspections Reports using AI, up to 10x faster",W24
Yarn,https://www.ycombinator.com/companies/yarn-2,Make sales and marketing videos with AI.,W24
Blacksmith,https://www.ycombinator.com/companies/blacksmith,Serverless cloud infra for CI,W24
CrowdVolt,https://www.ycombinator.com/companies/crowdvolt,Bid/ask style ticket exchange powered by automated order fulfillment,W24
kater.ai,https://www.ycombinator.com/companies/kater-ai,Deliver complete data analysis from a single question,W24
MathGPTPro,https://www.ycombinator.com/companies/mathgptpro,Ultimate AI Math Problem Solver to Revolutionize Personalized Learning,W24
Tower,https://www.ycombinator.com/companies/tower,Copilot for in-house legal teams.,W24
Quivr,https://www.ycombinator.com/companies/quivr,Open Source Chat-Powered Second Brain,W24
Dragoneye,https://www.ycombinator.com/companies/dragoneye,Helping devs build computer vision models automatically,W24
renderlet,https://www.ycombinator.com/companies/renderlet,Build interactive applications that run anywhere,W24
Fume,https://www.ycombinator.com/companies/fume,We are building the AI Software Developer,W24
Numo,https://www.ycombinator.com/companies/numo,The offshore bank for international contractors,W24
Forge,https://www.ycombinator.com/companies/forge,Procurement software for hardware companies,W24
Taiki,https://www.ycombinator.com/companies/taiki,Universal API for tax data,W24
Konstructly,https://www.ycombinator.com/companies/konstructly,The Modern Operating System for Construction,W24
Pico,https://www.ycombinator.com/companies/pico,Pico organizes and takes action on your iPhone screenshots,W24
Granza Bio,https://www.ycombinator.com/companies/granza-bio,Cancer targeting attack particles,W24
Haplotype Labs,https://www.ycombinator.com/companies/haplotype-labs,Personalized prevention using genetics and AI,W24
Healia,https://www.ycombinator.com/companies/healia,Modern health insurance for dual income families,W24
TrueClaim,https://www.ycombinator.com/companies/trueclaim,"Transparent, AI-powered healthcare TPA.",W24
CoCrafter,https://www.ycombinator.com/companies/cocrafter,B2B construction marketplace to match contractors and subcontractors.,W24
Reform,https://www.ycombinator.com/companies/reform,Retool for logistics companies,W24
Piramidal,https://www.ycombinator.com/companies/piramidal,Foundation Model for the Brain,W24
Junction Bioscience,https://www.ycombinator.com/companies/junction-bioscience,AI Hypothesis Engine for Molecular Discovery,W24
OddsView,https://www.ycombinator.com/companies/oddsview,The Bloomberg Terminal of Sports Betting,W24
Silogy,https://www.ycombinator.com/companies/silogy,An AI-powered test and debug platform for chip developers,W24
Senso,https://www.ycombinator.com/companies/senso,AI-Powered Knowledge Base for Customer Support,W24
Eris Biotech,https://www.ycombinator.com/companies/eris-biotech,Our drugs engage the immune system to fight tumors,W24
Powder,https://www.ycombinator.com/companies/powder,AI Agents for precise document analysis,W24
OpenFoundry,https://www.ycombinator.com/companies/openfoundry,The fastest developer experience for building on open source AI.,W24
GoldenBasis,https://www.ycombinator.com/companies/goldenbasis,Modern back-office software for brokerages,W24
Penciled,https://www.ycombinator.com/companies/penciled,Generative AI voice agents for healthcare,W24
Magic Hour,https://www.ycombinator.com/companies/magic-hour,Platform for AI video generation.,W24
Ryse,https://www.ycombinator.com/companies/ryse,The secondary market for real estate leases,W24
Lumona,https://www.ycombinator.com/companies/lumona,Your News Feed for the Internet,W24
Datacurve,https://www.ycombinator.com/companies/datacurve,Curated data for training LLMs,W24
Marblism,https://www.ycombinator.com/companies/marblism,Generate a fully-functional web app from a single prompt,W24
CommodityAI,https://www.ycombinator.com/companies/commodityai,AI-Powered Shipment Management for Commodity Traders,W24
Veles,https://www.ycombinator.com/companies/veles,Copilot for Enterprise Software Sales,W24
Miden,https://www.ycombinator.com/companies/miden,Miden is a card issuer processor and core banking for businesses inâ€¦,W24
Fluently,https://www.ycombinator.com/companies/fluently,AI-powered speaking coach for calls,W24
Basepilot,https://www.ycombinator.com/companies/basepilot,"AI coworkers to automate browser work, in minutes.",W24
Aqua Voice,https://www.ycombinator.com/companies/aqua-voice,Voice-only text editor,W24
Fileforge,https://www.ycombinator.com/companies/fileforge,API For PDF Document Workflows,W24
xPay,https://www.ycombinator.com/companies/xpay,"International Billing Ops, Sales Tax and Payments for SaaS businesses",W24
DeepNight,https://www.ycombinator.com/companies/deepnight,Building The Next Generation of Night Vision Devices,W24
Vista Space,https://www.ycombinator.com/companies/vista-space,Modular battery energy storage for businesses,W24
Stackgrant,https://www.ycombinator.com/companies/stackgrant,We help companies find grants and draft compelling proposals,W24
Ocular AI,https://www.ycombinator.com/companies/ocular-ai,The Open Core Enterprise Search and Generative AI Platform,W24
Retell AI,https://www.ycombinator.com/companies/retell-ai,Infra for Building Conversational Voice AI,W24
Rove,https://www.ycombinator.com/companies/rove,The first travel credit card for Generation Z.,W24
camelQA,https://www.ycombinator.com/companies/camelqa,AI that replaces human QAs for mobile app testing,W24
Spark,https://www.ycombinator.com/companies/spark,AI-powered workflows for large-scale clean energy,W24
Titan,https://www.ycombinator.com/companies/titan-2,Open-source toolkit for data compliance,W24
Terrakotta,https://www.ycombinator.com/companies/terrakotta,AI platform for phone-first sellers,W24
Stacksync,https://www.ycombinator.com/companies/stacksync,Real-time and two-way sync between CRMs and Databases,W24
Hatchet,https://www.ycombinator.com/companies/hatchet-2,Background task orchestration and visibility,W24
Shepherd,https://www.ycombinator.com/companies/shepherd-2,Every student's personalized learning assistant,W24
Sonauto,https://www.ycombinator.com/companies/sonauto,Create hit songs with AI,W24
BiteSight,https://www.ycombinator.com/companies/bitesight,The video-first food delivery app. Imagine TikTok meets DoorDash.,W24
Velorum Therapeutics,https://www.ycombinator.com/companies/velorum-therapeutics,Powerful cancer drugs that starve tumors,W24
Zep AI,https://www.ycombinator.com/companies/zep-ai,The Memory Foundation For Your AI Stack,W24
Openmart,https://www.ycombinator.com/companies/openmart,AI alternative to ZoomInfo,W24
Triply,https://www.ycombinator.com/companies/triply,Operating system for travel businesses in Africa with embedded finance,W24
Amber AI,https://www.ycombinator.com/companies/amber-ai,Co-pilot for Account Managers,W24
Thorntale,https://www.ycombinator.com/companies/thorntale,Easiest way for post-sales teams to create data-driven presentations,W24
Alai,https://www.ycombinator.com/companies/alai,Create high quality presentations faster using AI,W24
PocketPod,https://www.ycombinator.com/companies/pocketpod,AI generated podcasts tailored to your interests,W24
Sample,https://www.ycombinator.com/companies/sample,Automating reimbursement for healthcare providers.,W24
Brainbase,https://www.ycombinator.com/companies/brainbase,AI workflow automations for enterprise,W24
Focal,https://www.ycombinator.com/companies/focal,AI video creation tool for TV shows and movies,W24
Givefront,https://www.ycombinator.com/companies/givefront,Banking for Nonprofits,W24
Cleva,https://www.ycombinator.com/companies/cleva,USD banking platform for Africa,W24
Oma Care,https://www.ycombinator.com/companies/oma-care,Get paid for taking care of your parents.,W24
Artos,https://www.ycombinator.com/companies/artos,"Turning science into regulatory submissions in minutes, not months.",W24
Model ML,https://www.ycombinator.com/companies/model-ml,AI tool for private equity firms and investment banks.,W24
BetterBasket,https://www.ycombinator.com/companies/betterbasket,Pricing for grocers with competitive data,W24
Circleback,https://www.ycombinator.com/companies/circleback,AI-powered meeting productivity suite,W24
just words,https://www.ycombinator.com/companies/just-words,Scale hyper-personalized messaging with AI,W24
Risotto,https://www.ycombinator.com/companies/risotto,Risotto auto-solves IT support requests using AI,W24
DianaHR,https://www.ycombinator.com/companies/dianahr,An AI-Powered HR Person,W24
HeartByte,https://www.ycombinator.com/companies/heartbyte,GenAI Webtoon. Creator write fictions 10x faster.,W24
Yondu,https://www.ycombinator.com/companies/yondu,Robotic Foundation Models for Intelligent Navigation,W24
dawn,https://www.ycombinator.com/companies/dawn,Analytics for AI products.,W24
